"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","FGM","FGA","3PTM","FTM","FTA","PTS","REB","AST","ST","BLK","TO","3D","2D"
"*031m4*","Dennis Schroder","TOR","PG,G,Flx","50","HBC","30","","813","32.52","87%","134.95","97%","-0.6%","5.4","12.7","1.7","2.6","3.0","15.0","2.9","6.8","1.0","0.1","1.7","0.0","5"
"*051oh*","Zion Williamson","NO","PF,F,Flx","51","STARKS","23","","812","38.67","100%","47.21","100%","0%","9.0","15.4","0.1","4.7","7.1","22.8","5.8","4.7","1.0","0.3","2.6","0.0","3"
"*03nwm*","Devin Booker","PHO","PG,SG,G,SF,F,Flx","52","SDP","27","","809","50.56","100%","17.51","100%","0%","9.3","19.1","2.0","7.6","8.3","28.1","5.9","8.3","0.7","0.4","3.1","0.0","7"
"*051p9*","Keldon Johnson","SA","SG,G,SF,F,Flx","53","GBRAYERS","24","","803","34.91","97%","109.11","99%","0%","6.3","13.3","2.1","2.5","3.2","17.2","6.2","4.3","0.9","0.3","1.4","0.0","5"
"*03e6s*","Clint Capela","ATL","C,Flx","54","Jmarr237","29","@CLE Sat 4:30PM","797","33.21","98%","99.38","98%","+0.3%","5.0","8.6","0.0","1.5","2.4","11.5","10.5","1.1","0.6","1.7","0.8","0.0","11"
"*027pe*","Jimmy Butler","MIA","SF,PF,F,Flx","55","STARKS","34","CHI Sat 5:00PM","794","37.81","100%","26.77","98%","0%","6.7","14.4","0.9","7.3","8.2","21.5","5.2","4.7","1.1","0.4","1.8","0.0","3"
"*01eo6*","James Harden","LAC","PG,SG,G,Flx","56","Jmarr237","34","NY Sat 7:30PM","789","41.53","100%","25.48","99%","0%","4.8","10.4","2.4","4.5","5.1","16.6","4.7","7.3","1.5","0.7","2.4","0.0","3"
"*042n6*","Jakob Poeltl","TOR","C,Flx","57","GBRAYERS","28","","789","31.56","99%","78.86","97%","0%","5.0","6.8","0.0","1.1","2.2","11.1","8.5","2.2","0.8","1.2","1.6","0.0","10"
"*03e6u*","Bogdan Bogdanovic","ATL","SG,G,SF,F,Flx","58","Jmarr237","31","@CLE Sat 4:30PM","788","32.83","71%","152.82","91%","+1.1%","6.3","13.5","3.4","1.5","1.6","17.5","3.4","2.5","1.5","0.3","1.2","0.0","0"
"*05qug*","Anthony Edwards","MIN","SG,G,SF,F,Flx","59","maxpat01","22","IND Sat 5:00PM","781","39.05","100%","13.03","100%","0%","8.2","18.8","2.3","5.0","5.8","23.6","5.5","5.2","1.3","0.5","3.1","0.0","2"
"*04ewt*","Derrick White","BOS","PG,SG,G,Flx","60","CCC","29","","776","36.95","99%","87.68","99%","+0.3%","5.0","10.5","2.5","3.0","3.3","15.6","3.9","5.1","1.3","0.9","1.8","0.0","1"
"*05uus*","Austin Reaves","LAL","SG,G,SF,F,Flx","61","Jmarr237","25","","768","29.54","99%","88.9","99%","+0.1%","5.1","10.8","1.7","2.9","3.3","14.8","4.8","4.9","0.9","0.1","2.3","0.0","3"
"*0558t*","Max Strus","CLE","SG,G,SF,PF,F,Flx","62","CCC","27","ATL Sat 4:30PM","758","30.32","45%","160.58","92%","-2.2%","4.9","11.8","2.8","1.1","1.4","13.7","5.5","3.8","0.9","0.5","1.5","0.0","3"
"*027p4*","Tobias Harris","PHI","SF,PF,F,Flx","63","GBRAYERS","31","@CHA Sat 4:00PM","751","31.29","99%","93.71","97%","-0.2%","6.3","12.2","1.0","3.3","3.6","16.9","6.1","2.6","1.0","0.3","1.8","0.0","2"
"*03e74*","Spencer Dinwiddie","BKN","PG,SG,G,Flx","64","Jmarr237","30","@GS Sat 5:30PM","717","31.17","98%","98.18","97%","+0.2%","4.8","11.9","2.1","3.1","4.0","14.8","4.0","6.5","0.8","0.1","1.8","0.0","2"
"*04ewf*","Bam Adebayo","MIA","C,Flx","65","Orcas","26","CHI Sat 5:00PM","715","44.69","100%","26.55","100%","0%","8.3","15.8","0.1","5.7","7.0","22.3","9.9","3.9","1.2","1.0","2.4","0.1","10"
