ID,Player,Team,Position,RkOv,Status,Age,Opponent,FPts,FP/G,%D,ADP,Ros,+/-,FGM,FGA,3PTM,FTM,FTA,PTS,REB,AST,ST,BLK,TO,3D,2D
*01eo6*,James Harden,LAC,"PG,SG,G,Flx",87,Jmarr237,34,,530,37.86,100%,25.18,99%,-0.1%,4.8,10.4,2.4,3.7,4.4,15.7,4.4,6.4,1.6,0.4,2.1,0.0,1
*042n1*,Brandon Ingram,NO,"SG,G,SF,PF,F,Flx",46,GBRAYERS,26,,680,37.78,100%,51.73,99%,-0.1%,9.2,18.5,1.2,3.7,4.8,23.4,5.2,5.3,0.8,0.2,2.6,0.0,0
*01eon*,DeMar DeRozan,CHI,"SG,G,SF,PF,F,Flx",36,BBB,34,,712,37.47,100%,46.19,100%,-0.1%,7.6,16.7,0.9,5.3,6.5,21.5,3.3,4.9,0.9,0.8,1.2,0.0,1
*05uj1*,Cameron Thomas,BKN,"SG,G,SF,F,Flx",162,Orcas,22,,372,37.2,22%,209.27,87%,0.1%,9.7,20.9,2.3,4.4,5.2,26.1,3.9,2.3,0.7,0.6,1.3,0.0,0
*03ad4*,D'Angelo Russell,LAL,"PG,SG,G,Flx",23,STARKS,27,,779,37.1,99%,97.41,100%,0%,6.4,13.2,2.2,2.0,2.6,17.1,3.4,6.6,0.8,0.6,1.8,0.0,2
*03ajv*,Julius Randle,NY,"PF,F,Flx",42,BBB,29,,700,36.84,100%,44.82,100%,0%,7.2,17.4,1.6,4.5,6.4,20.4,10.2,5.5,0.7,0.2,3.2,0.0,12
*02xg9*,Rudy Gobert,MIN,"C,Flx",43,HHBC,31,,697,36.68,100%,64.12,98%,0.2%,4.9,8.2,0.0,3.4,5.5,13.3,11.6,1.1,0.6,2.4,1.6,0.0,14
*03ad2*,Myles Turner,IND,"C,Flx",51,Jmarr237,27,,655,36.39,100%,41.72,100%,0%,6.1,11.8,1.4,3.1,4.0,16.6,7.8,1.4,0.6,2.1,1.5,0.0,5
*04qs1*,Anfernee Simons,POR,"PG,SG,G,Flx",388,GBRAYERS,24,,36,36,100%,76.89,97%,0.1%,6.0,14.0,2.0,4.0,4.0,18.0,2.0,4.0,2.0,0.0,0.0,0.0,0
*05uir*,Trey Murphy,NO,"SF,PF,F,Flx",386,VSL,23,,36,36,81%,156.33,85%,3.6%,7.0,13.0,4.0,0.0,0.0,18.0,3.0,1.0,1.0,1.0,0.0,0.0,0
*05uii*,Franz Wagner,ORL,"SG,G,SF,F,Flx",37,Orcas,22,,712,35.6,100%,63.58,100%,0%,7.7,16.4,1.6,3.8,4.5,20.7,5.8,3.5,1.1,0.4,1.8,0.0,0
*06210*,Paolo Banchero,ORL,"SF,PF,F,Flx",38,SERP,21,,709,35.45,100%,55.44,100%,0%,7.0,14.7,1.4,4.0,6.0,19.5,6.8,4.8,1.1,0.6,3.1,0.0,4
*03lls*,Jaylen Brown,BOS,"SG,G,SF,F,Flx",55,Jmarr237,27,,635,35.28,100%,39.41,100%,-0.1%,8.3,18.4,2.4,2.8,4.0,21.8,4.9,3.4,1.2,0.6,2.4,0.0,0
