"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","FGM","FGA","3PTM","FTM","FTA","PTS","REB","AST","ST","BLK","TO","3D","2D"
"*04qry*","Grayson Allen","PHO","SG,G,SF,F,Flx","98","maxpat01","28","HOU Sat 6:00PM","1516","29.15","6%","387.1","74%","-1.3%","4.3","8.5","2.6","1.8","2.0","13.0","4.0","3.2","0.8","0.7","1.3","0.0","1"
"*027pe*","Jimmy Butler","MIA","SF,PF,F,Flx","83","STARKS","34","UTA 26<br/>@MIA 24","1510","39.74","100%","26.56","98%","+0.2%","6.7","13.4","1.0","7.0","8.2","21.4","5.6","4.6","1.4","0.3","1.7","0.0","4"
"*0621c*","Jalen Duren","DET","C,Flx","90","maxpat01","20","","1505","35.83","97%","100.72","99%","0%","6.1","9.7","0.0","1.8","2.5","14.0","12.1","2.5","0.5","0.9","1.9","0.0","30"
"*06212*","Jabari Smith","HOU","PF,F,C,Flx","92","SERP","20","@PHO Sat 6:00PM","1499","28.83","99%","87.08","99%","+0.1%","4.9","10.8","1.7","1.9","2.3","13.4","8.6","1.5","0.7","0.7","1.3","0.0","12"
"*0621l*","Walker Kessler","UTA","C,Flx","99","CCC","22","UTA 26<br/>@MIA 24","1479","29.58","100%","53.8","96%","-0.5%","3.7","5.7","0.1","0.9","1.6","8.4","7.3","0.9","0.5","2.7","1.0","0.0","6"
"*05qu9*","Immanuel Quickley","TOR","PG,SG,G,Flx","91","SERP","24","","1478","27.89","94%","117.54","98%","+0.5%","5.4","12.5","2.5","2.6","3.0","15.9","3.3","3.8","0.6","0.1","1.2","0.0","2"
"*005kc*","Russell Westbrook","LAC","PG,G,Flx","101","BBB","35","","1476","26.36","98%","100.01","92%","-1.2%","4.5","9.9","0.7","1.5","2.3","11.2","5.2","4.5","1.1","0.4","2.1","0.0","7"
"*03nwn*","Bobby Portis","MIL","PF,F,C,Flx","89","CCC","29","","1475","25.43","92%","124.88","92%","+0.4%","5.2","10.4","1.2","1.2","1.6","12.8","6.8","1.1","0.7","0.4","1.0","0.0","8"
"*06218*","Jeremy Sochan","SA","PG,G,PF,F,Flx","103","SERP","20","","1458","25.14","88%","128.93","89%","-0.2%","4.5","10.2","0.9","1.4","1.9","11.3","6.2","3.5","0.8","0.4","1.9","0.0","4"
"*05uj9*","Herbert Jones","NO","SF,PF,F,Flx","97","BIGFOOTS","25","","1452","27.4","86%","136.09","89%","+1.5%","4.1","8.0","1.5","1.7","2.0","11.3","3.7","2.5","1.3","0.8","1.2","0.0","0"
